CurrentState|Input|Output|Movement|NewState
S0|X|X|>|S0
S0|K|K|>|S0
S0|0|0|>|S0
S0|C|C|>|S0
S0|Y|Y|>|S0
S0|A|A|>|S0
S0|B|Z|>|S0
S0|T|T|>|S0
S0|Z|Z|>|S6
S0|I|N|>|S2
S0|N|I|<|S2
S0|C|C|>|S0
S0|#|#|<|S6
S0|~|~|>|S6
S1|X|X|<|S1
S1|K|K|<|S1
S1|0|0|<|S1
S1|C|C|<|S1
S1|Y|Y|<|S1
S1|A|A|<|S1
S1|B|B|<|S1
S1|T|T|<|S1
S1|Z|Z|<|S1
S1|P|P|<|S1
S1|I|N|<|S1
S1|N|I|<|S2
S1|C|C|<|S1
S1|#|#|<|S6
S1|~|~|>|S6
S1|Q|Q|<|S1
S2|X|X|>|S6
S2|K|K|>|S6
S2|0|0|>|S3
S2|C|C|>|S0
S2|Y|Y|>|S0
S2|A|A|>|S3
S2|B|B|>|S1
S2|T|T|>|S6
S2|Z|Z|>|S6
S2|#|#|<|S0
S2|~|~|>|S0
S3|X|X|>|S6
S3|K|K|>|S6
S3|0|Q|>|S4
S3|C|C|>|S1
S3|P|P|<|S1
S3|Y|Y|>|S1
S3|A|0|>|S1
S3|Q|0|<|S1
S3|B|B|>|S3
S3|T|T|>|S6
S3|#|#|<|S1
S3|Z|Z|>|S1
S3|~|~|>|S4
S4|0|P|>|S5
S4|C|C|>|S0
S4|Y|Y|<|S1
S4|A|A|>|S1
S4|B|R|<|S3
S4|T|T|<|S3
S4|X|X|<|S3
S4|K|K|<|S3
S4|#|#|<|S6
S4|Z|Z|<|S6
S4|~|~|>|S6
S5|0|0|<|S5
S5|C|C|<|S5
S5|0|0|<|S5
S5|X|X|<|S5
S5|K|K|<|S5
S5|T|T|<|S5
S5|P|P|<|S5
S5|Q|0|<|S1
S5|B|R|<|S3
