CurrentState|Input|Output|Movement|NewState
S0|X|X|>|S0
S0|T|T|>|S0
S0|0|0|>|S0
S0|C|C|>|S0
S0|Y|Y|>|S0
S0|A|A|>|S0
S0|B|B|>|S0
S0|Z|Z|>|S0
S0|I|G|<|S1
S0|G|I|>|S2
S0|R|R|>|S1
S0|Q|0|>|S0
S0|P|0|>|S0
S1|X|X|<|S1
S1|0|0|>|S2
S1|T|T|<|S1
S1|C|C|>|S0
S1|Y|Y|<|S1
S1|I|I|>|S2
S1|A|A|<|S1
S1|G|I|<|S0
S1|Z|Z|>|S2
S1|B|B|<|S1
S1|P|P|<|S1
S1|Q|Q|<|S1
S1|R|R|<|S2
S2|X|X|>|S3
S2|T|T|>|S3
S2|0|0|>|S3
S2|Z|Z|>|S0
S2|Q|Q|>|S2
S2|C|C|>|S3
S2|Y|Y|>|S3
S2|A|V|>|S3
S2|B|B|>|S3
S2|I|I|>|S2
S2|G|I|>|S2
