CurrentState|Input|Output|Movement|NewState
S0|0|0|>|S0
S0|X|X|>|S0
S0|K|K|>|S0
S0|T|T|>|S0
S0|B|B|>|S0
S0|A|A|>|S0
S0|Y|Y|>|S0
S0|F|F|>|S0
S0|C|C|>|S0
S0|N|I|<|S2
S0|I|I|>|S2
S0|~|~|>|S0
S0|#|#|<|S12
S1|0|0|<|S1
S1|X|X|<|S1
S1|K|K|<|S1
S1|T|T|<|S1
S1|B|B|<|S1
S1|A|A|<|S1
S1|Y|Y|<|S1
S1|F|F|<|S1
S1|C|C|<|S1
S1|N|I|>|S2
S1|I|I|<|S2
S1|~|~|>|S0
S1|#|#|<|S12
S2|0|A|>|S3
S2|X|Y|>|S3
S2|K|F|>|S3
S2|T|T|>|S3
S2|B|B|>|S3
S2|A|A|>|S3
S2|Y|Y|>|S3
S2|F|F|>|S3
S2|C|C|>|S3
S2|I|I|>|S0
S2|~|~|>|S0
S2|#|#|<|S1
S3|0|0|>|S4
S3|X|X|>|S4
S3|K|K|>|S4
S3|T|T|>|S4
S3|B|B|>|S4
S3|A|A|>|S4
S3|Y|Y|>|S4
S3|F|F|>|S4
S3|C|C|>|S4
S3|I|I|>|S0
S3|~|~|>|S0
S3|#|#|<|S1
S4|0|0|>|S5
S4|X|X|>|S5
S4|K|K|>|S5
S4|T|T|>|S5
S4|B|B|>|S5
S4|A|A|>|S5
S4|Y|Y|>|S5
S4|F|F|>|S5
S4|C|C|>|S5
S4|I|I|>|S0
S4|~|~|>|S0
S4|#|#|<|S1
S5|0|0|>|S6
S5|X|X|>|S6
S5|K|K|>|S6
S5|T|T|>|S6
S5|B|B|>|S6
S5|A|A|>|S6
S5|Y|Y|>|S6
S5|F|F|>|S6
S5|C|C|>|S6
S5|I|I|>|S0
S5|~|~|>|S0
S5|#|#|<|S1
S6|0|0|>|S7
S6|X|X|>|S7
S6|K|K|>|S7
S6|T|T|>|S7
S6|B|B|>|S7
S6|A|A|>|S7
S6|Y|Y|>|S7
S6|F|F|>|S7
S6|C|C|>|S7
S6|I|I|>|S0
S6|~|~|>|S0
S6|#|#|<|S1
S7|0|0|>|S8
S7|X|X|>|S8
S7|K|K|>|S8
S7|T|T|>|S8
S7|B|B|>|S8
S7|A|A|>|S8
S7|Y|Y|>|S8
S7|F|F|>|S8
S7|C|C|>|S8
S7|I|I|>|S0
S7|~|~|>|S0
S7|#|#|<|S1
S8|0|0|>|S9
S8|X|X|>|S9
S8|K|K|>|S9
S8|T|T|>|S9
S8|B|B|>|S9
S8|A|A|>|S9
S8|Y|Y|>|S9
S8|F|F|>|S9
S8|C|C|>|S9
S8|I|I|>|S0
S8|~|~|>|S0
S8|#|#|<|S1
S9|0|A|>|S10
S9|X|Y|>|S10
S9|K|F|>|S10
S9|T|T|>|S10
S9|B|B|>|S10
S9|A|A|>|S10
S9|Y|Y|>|S10
S9|F|F|>|S10
S9|C|C|>|S10
S9|I|I|>|S0
S9|~|~|>|S0
S9|#|#|<|S1
S10|0|A|>|S11
S10|X|Y|>|S11
S10|K|F|>|S11
S10|T|T|>|S11
S10|B|B|>|S11
S10|A|A|>|S11
S10|Y|Y|>|S11
S10|F|F|>|S11
S10|C|C|>|S11
S10|I|I|>|S0
S10|~|~|>|S0
S10|#|#|<|S12
S11|0|A|>|S0
S11|X|Y|>|S0
S11|K|F|>|S0
S11|T|T|>|S0
S11|B|B|>|S0
S11|A|A|>|S0
S11|Y|Y|>|S0
S11|F|F|>|S0
S11|C|C|>|S0
S11|I|I|>|S0
S11|~|~|>|S0
S11|#|#|<|S12
