CurrentState|Input|Output|Movement|NewState
S0|0|0|>|S0
S0|X|X|>|S0
S0|B|B|>|S0
S0|A|A|>|S0
S0|Y|Y|>|S0
S0|C|C|>|S0
S0|N|I|<|S2
S0|I|I|>|S2
S0|~|~|>|S0
S0|#|#|<|S21
S1|0|0|<|S1
S1|X|X|<|S1
S1|B|B|<|S1
S1|A|A|<|S1
S1|Y|Y|<|S1
S1|C|C|<|S1
S1|N|I|>|S2
S1|I|I|<|S2
S1|~|~|>|S0
S1|#|#|<|S21
S2|0|0|>|S3
S2|X|X|>|S3
S2|B|B|>|S3
S2|A|A|>|S3
S2|Y|Y|>|S3
S2|C|C|>|S3
S2|I|I|>|S0
S2|~|~|>|S0
S2|#|#|<|S1
S3|0|0|>|S4
S3|X|X|>|S4
S3|B|B|>|S4
S3|A|A|>|S4
S3|Y|Y|>|S4
S3|C|C|>|S4
S3|I|I|>|S0
S3|~|~|>|S0
S3|#|#|<|S1
S4|0|0|>|S5
S4|X|X|>|S5
S4|B|B|>|S5
S4|A|A|>|S5
S4|Y|Y|>|S5
S4|C|C|>|S5
S4|~|~|>|S0
S4|#|#|<|S1
S5|0|0|>|S6
S5|X|X|>|S6
S5|B|B|>|S6
S5|A|A|>|S6
S5|Y|Y|>|S6
S5|C|C|>|S6
S5|~|~|>|S0
S5|#|#|<|S1
S6|0|0|>|S7
S6|X|X|>|S7
S6|B|B|>|S7
S6|A|A|>|S7
S6|Y|Y|>|S7
S6|C|C|>|S7
S6|~|~|>|S0
S6|#|#|<|S1
S7|0|0|>|S8
S7|X|X|>|S8
S7|B|B|>|S8
S7|A|A|>|S8
S7|Y|Y|>|S8
S7|C|C|>|S8
S7|~|~|>|S0
S7|#|#|<|S1
S8|0|A|>|S9
S8|X|Y|>|S9
S8|B|B|>|S9
S8|A|A|>|S9
S8|Y|Y|>|S9
S8|C|C|>|S9
S8|~|~|>|S0
S8|#|#|<|S1
S9|0|0|>|S10
S9|X|X|>|S10
S9|B|B|>|S10
S9|A|A|>|S10
S9|Y|Y|>|S10
S9|C|C|>|S10
S9|~|~|>|S0
S9|#|#|<|S1
S10|0|0|>|S11
S10|X|X|>|S11
S10|B|B|>|S11
S10|A|A|>|S11
S10|Y|Y|>|S11
S10|C|C|>|S11
S10|~|~|>|S0
S10|#|#|<|S1
S11|0|0|>|S12
S11|X|X|>|S12
S11|B|B|>|S12
S11|A|A|>|S12
S11|Y|Y|>|S12
S11|C|C|>|S12
S11|~|~|>|S0
S11|#|#|<|S1
S12|0|A|>|S13
S12|X|Y|>|S13
S12|B|B|>|S13
S12|A|A|>|S13
S12|Y|Y|>|S13
S12|C|C|>|S13
S12|~|~|>|S0
S12|#|#|<|S1
S13|0|0|>|S14
S13|X|X|>|S14
S13|B|B|>|S14
S13|A|A|>|S14
S13|Y|Y|>|S14
S13|C|C|>|S14
S13|~|~|>|S0
S13|#|#|<|S1
S14|0|0|>|S15
S14|X|X|>|S15
S14|B|B|>|S15
S14|A|A|>|S15
S14|Y|Y|>|S15
S14|C|C|>|S15
S14|~|~|>|S0
S14|#|#|<|S1
S15|0|0|>|S16
S15|X|X|>|S16
S15|B|B|>|S16
S15|A|A|>|S16
S15|Y|Y|>|S16
S15|C|C|>|S16
S15|~|~|>|S0
S15|#|#|<|S1
S16|0|0|>|S17
S16|X|X|>|S17
S16|B|B|>|S17
S16|A|A|>|S17
S16|Y|Y|>|S17
S16|C|C|>|S17
S16|~|~|>|S0
S16|#|#|<|S1
S17|0|0|>|S18
S17|X|X|>|S18
S17|B|B|>|S18
S17|A|A|>|S18
S17|Y|Y|>|S18
S17|C|C|>|S18
S17|~|~|>|S0
S17|#|#|<|S1
S18|0|A|>|S19
S18|X|Y|>|S19
S18|B|B|>|S19
S18|A|A|>|S19
S18|Y|Y|>|S19
S18|C|C|>|S19
S18|~|~|>|S0
S18|#|#|<|S1
S19|0|0|>|S20
S19|X|X|>|S20
S19|B|B|>|S20
S19|A|A|>|S20
S19|Y|Y|>|S20
S19|C|C|>|S20
S19|~|~|>|S0
S19|#|#|<|S1
S20|0|A|>|S0
S20|X|Y|>|S0
S20|B|B|>|S0
S20|A|A|>|S0
S20|Y|Y|>|S0
S20|C|C|>|S0
S20|~|~|>|S21
S20|#|#|<|S21
