#CurrentState|Input|Output|Movement|NewState
S0|0|0|>|S0
S0|X|X|>|S0
S0|K|K|>|S0
S0|B|B|>|S0
S0|C|C|>|S0
S0|N|I|<|S1
S0|I|I|>|S1
S0|Y|Y|>|S0
S0|F|F|>|S0
S0|A|A|>|S0
S0|#|#|<|S11
S1|0|0|>|S3
S1|X|X|>|S3
S1|K|K|>|S3
S1|B|B|>|S3
S1|C|C|>|S3
S2|0|0|<|S2
S2|X|X|<|S2
S2|K|K|<|S2
S2|B|B|<|S2
S2|C|C|<|S2
S2|A|A|<|S2
S2|Y|Y|<|S2
S2|F|F|>|S2
S2|~|~|>|S11
S2|#|#|<|S0
S2|I|I|<|S2
S3|#|#|<|S0
S3|0|0|>|S4
S3|X|X|>|S4
S3|K|K|>|S4
S3|B|B|>|S4
S3|C|C|>|S4
S3|~|~|>|S0
S3|#|#|<|S0
S4|0|0|>|S5
S4|X|X|>|S5
S4|K|K|>|S5
S4|B|B|>|S5
S4|C|C|>|S5
S4|~|~|>|S0
S4|#|#|<|S0
S5|0|0|>|S6
S5|X|X|>|S6
S5|K|K|>|S6
S5|B|B|>|S6
S5|C|C|>|S6
S5|~|~|>|S0
S5|#|#|<|S0
S6|0|0|>|S7
S6|X|X|>|S7
S6|K|K|>|S7
S6|B|B|>|S7
S6|C|C|>|S7
S6|~|~|>|S0
S6|#|#|<|S0
S7|0|0|>|S8
S7|X|X|>|S8
S7|K|K|>|S8
S7|B|B|>|S8
S7|C|C|>|S8
S7|~|~|>|S0
S7|#|#|<|S0
S8|0|0|>|S9
S8|X|X|>|S9
S8|K|K|>|S9
S8|B|B|>|S9
S8|C|C|>|S9
S8|~|~|>|S0
S8|#|#|<|S10
S9|0|A|>|S1
S9|X|Y|>|S10
S9|K|F|>|S10
S9|B|B|>|S10
S9|C|C|>|S10
S9|#|#|<|S0
S9|A|A|>|S10
S9|~|~|>|S10
S10|0|0|>|S10
S10|X|X|>|S10
S10|K|K|>|S10
S10|B|B|>|S10
S10|C|C|>|S10
S10|#|#|<|S11
S10|A|A|>|S10
S10|I|I|>|S1
S10|N|N|<|S11
S10|~|~|>|S0
S11|0|0|<|S11
S11|X|X|<|S11
S11|K|K|<|S11
S11|B|B|<|S11
S11|C|C|<|S11
S11|A|A|<|S11
S11|Y|Y|<|S11
S11|F|F|<|S11
S11|I|N|-|S12
S11|N|N|<|S25
S11|~|~|>|S12
S11|#|#|<|S25
S12|0|0|>|S12
S12|X|X|>|S12
S12|K|K|>|S12
S12|B|B|>|S12
S12|C|C|>|S12
S12|A|A|>|S12
S12|Y|Y|>|S12
S12|F|F|>|S12
S12|I|I|>|S13
S12|N|I|<|S13
S13|0|0|>|S14
S13|X|X|>|S14
S13|K|K|>|S14
S13|B|B|>|S14
S13|C|C|>|S14
S13|A|A|>|S14
S13|Y|Y|>|S14
S13|F|F|>|S14
S13|#|D|<|S11
S13|D|#|<|S25
S13|~|~|>|S12
S14|0|0|>|S15
S14|X|X|>|S15
S14|K|K|>|S15
S14|B|B|>|S15
S14|C|C|>|S15
S14|A|A|>|S15
S14|Y|Y|>|S15
S14|F|F|>|S15
S14|#|D|<|S11
S14|D|#|<|S25
S14|~|~|>|S12
S15|0|0|>|S16
S15|X|X|>|S16
S15|K|K|>|S16
S15|B|B|>|S16
