CurrentState|Input|Output|Movement|NewState
S0|X|X|>|S0
S0|0|0|>|S0
S0|C|C|>|S0
S0|Y|Y|>|S0
S0|A|A|>|S0
S0|B|B|>|S0
S0|Q|Q|>|S0
S0|I|N|>|S2
S0|N|I|<|S2
S0|C|C|>|S0
S0|#|#|<|S5
S0|~|~|>|S5
S1|X|X|<|S1
S1|0|0|<|S1
S1|C|C|<|S1
S1|Y|Y|<|S1
S1|A|A|<|S1
S1|B|B|<|S1
S1|P|P|<|S1
S1|I|I|<|S5
S1|N|I|<|S2
S1|C|C|<|S1
S1|#|#|<|S5
S1|~|~|>|S5
S1|Q|Q|<|S1
S2|X|X|>|S5
S2|0|0|>|S3
S2|C|C|>|S0
S2|Y|Y|>|S0
S2|A|A|>|S3
S2|B|B|>|S5
S2|#|#|<|S0
S2|~|~|>|S0
S3|X|X|>|S5
S3|0|Q|>|S4
S3|C|C|>|S1
S3|Y|Y|>|S1
S3|A|0|>|S1
S3|Q|0|<|S1
S3|B|B|>|S5
S3|#|#|<|S1
S3|~|~|>|S4
S4|0|P|>|S4
S4|C|C|>|S0
S4|Y|Y|<|S1
S4|A|A|>|S1
S4|B|B|<|S3
S4|#|#|<|S5
S4|~|~|>|S5
