#CurrentState|Input|Output|Movement|NewState
S0|P|P|>|S0
S0|R|R|>|S0
S0|B|B|>|S0
S0|%|%|>|S0
S0|Q|Q|>|S0
S0|K|K|>|S2
S0|~|~|>|S0
S0|C|C|>|S0
S0|#|#|<|S1
S1|P|P|<|S1
S1|R|R|<|S1
S1|B|B|<|S1
S1|%|%|<|S1
S1|Q|Q|<|S1
S1|K|K|<|S2
S1|~|~|>|S0
S1|#|#|<|S1
S2|R|N|>|S3
S2|Q|Q|>|S2
S2|B|B|>|S2
S2|%|%|>|S2
S2|P|P|>|S2
S2|N|R|<|S3
S2|0|0|>|S2
S3|0|0|>|S3
S3|C|C|>|S4
S3|P|P|>|S4
S3|R|R|>|S4
S3|B|B|>|S4
S3|%|%|>|S4
S3|Q|Q|>|S4
S3|K|F|>|S25
S3|~|~|>|S0
S4|P|P|>|S5
S4|R|R|>|S5
S4|B|B|>|S5
S4|%|%|>|S5
S4|Q|Q|>|S5
S4|0|0|>|S5
S4|C|C|>|S5
S4|K|K|>|S4
S4|~|~|>|S0
S4|#|#|<|S6
S5|0|0|>|S5
S5|P|P|>|S5
S5|R|R|>|S5
S5|B|B|>|S5
S5|%|%|>|S5
S5|Q|Q|>|S5
S5|K|K|>|S5
S5|C|C|>|S5
S5|B|B|>|S5
S5|#|#|<|S6
S5|~|~|>|S0
S6|K|K|<|S6
S6|0|0|<|S6
S6|C|C|<|S6
S6|P|P|<|S6
S6|R|R|<|S6
S6|B|B|<|S6
S6|%|%|<|S6
S6|Q|Q|<|S6
S6|F|F|<|S6
S6|C|C|<|S6
S6|N|R|>|S6
S6|~|~|>|S7
S6|#|#|>|S7
S7|K|K|>|S7
S7|0|0|>|S7
S7|C|C|>|S7
S7|P|P|>|S7
S7|R|R|>|S7
S7|B|B|>|S7
S7|%|%|>|S7
S7|Q|Q|>|S7
S7|F|F|>|S7
S7|I|I|>|S8
S7|N|I|<|S8
S7|~|~|>|S7
S7|#|#|<|S25
S8|K|K|>|S9
S8|0|0|>|S9
S8|C|C|>|S9
S8|P|P|>|S9
S8|R|R|>|S9
S8|B|B|>|S9
S8|%|%|>|S9
S8|Q|Q|>|S9
S8|F|F|>|S9
S8|~|~|>|S7
S8|#|#|<|S7
S9|K|K|>|S10
S9|0|0|>|S10
S9|C|C|>|S10
S9|P|P|>|S10
S9|R|R|>|S10
S9|B|B|>|S10
S9|%|%|>|S10
S9|Q|Q|>|S10
S9|F|F|>|S10
S9|~|~|>|S7
S9|#|#|<|S7
S10|K|K|>|S11
S10|0|0|>|S11
S10|C|C|>|S11
S10|P|P|>|S11
S10|R|R|>|S11
S10|B|B|>|S11
S10|%|%|>|S11
S10|Q|Q|>|S11
S10|F|F|>|S11
S10|~|~|>|S7
S10|#|#|<|S7
S11|K|K|>|S12
S11|0|0|>|S12
S11|C|C|>|S12
S11|P|P|>|S12
S11|R|R|>|S12
S11|B|B|>|S12
S11|%|%|>|S12
S11|Q|Q|>|S12
S11|F|F|>|S12
S11|~|~|>|S7
S11|#|#|<|S7
S12|K|K|>|S13
S12|0|0|>|S13
S12|C|C|>|S13
S12|P|P|>|S13
S12|R|R|>|S13
S12|B|B|>|S13
S12|%|%|>|S13
S12|Q|Q|>|S13
S12|F|F|>|S13
S12|~|~|>|S7
S12|#|#|<|S7
S13|X|X|>|S14
S13|K|K|>|S14
S13|0|0|>|S14
S13|C|C|>|S14
S13|P|P|>|S14
S13|R|R|>|S14
S13|B|B|>|S14
S13|%|%|>|S14
S13|Q|Q|>|S14
S13|F|F|>|S14
S13|~|~|>|S7
S13|#|#|<|S7
S14|K|K|>|S15
S14|0|0|>|S15
S14|C|C|>|S15
S14|P|P|>|S15
S14|R|R|>|S15
S14|B|B|>|S15
S14|%|%|>|S15
S14|Q|Q|>|S15
S14|F|F|>|S15
S14|~|~|>|S7
S14|#|#|<|S7
S15|K|K|>|S16
S15|0|0|>|S16
S15|C|C|>|S16
S15|P|P|>|S16
S15|R|R|>|S16
S15|B|B|>|S16
S15|%|%|>|S16
S15|Q|Q|>|S16
S15|F|F|>|S16
S15|~|~|>|S7
S15|#|#|<|S7
S16|K|F|>|S17
S16|0|0|>|S8
S16|C|C|>|S8
S16|P|P|>|S17
S16|R|R|>|S17
S16|B|B|>|S17
S16|%|%|>|S17
S16|Q|Q|>|S17
S16|F|F|>|S8
S16|~|~|>|S7
S16|#|#|<|S7
S17|K|K|>|S17
S17|C|C|>|S17
S17|F|F|>|S17
S17|~|~|>|S7
S17|B|B|>|S17
S17|#|#|<|S25
S18|K|K|<|S18
S18|C|C|<|S18
S18|F|F|<|S18
S18|B|B|<|S18
S18|I|I|<|S18
S18|~|~|-|S25
S18|#|#|-|S25
